Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,3,1.3,0.86,-0.44,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,4,0.128,0.376,0.248,0.376,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1,2.76,1.4,-1.36,1.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,2,0.224,0.096,-0.128,0.128,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,3,0.248,0.112,-0.136,0.136,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,4,0.22,0.28,0.06,0.28,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,1,4,1.96,-2.04,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,2,0.032,0.016,-0.016,0.016,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,3,0.272,0.14,-0.132,0.14,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,4,0.18,0.14,-0.04,0.14,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,1,3.88,1.92,-1.96,1.96,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,2,0.088,0.04,-0.048,0.048,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,3,0.304,0.148,-0.156,0.156,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,4,0.2,0.04,-0.16,0.16,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,1,3.68,1.88,-1.8,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,2,0.032,0.016,-0.016,0.016,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,3,0.232,0.116,-0.116,0.116,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,4,0.16,0.24,0.08,0.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,1,3.4,1.72,-1.68,1.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,2,0.032,0.016,-0.016,0.016,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,3,0.232,0.116,-0.116,0.116,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,4,0.2,0.08,-0.12,0.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
