Band,Capture,Stage,Used,ExclusionReason,LinearSubsamples,RetainedSweepFraction
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,LP,1,"usada parcialmente: 1 submuestra(s), 64.7% del sweep lineal; saturación CH4",1,0.647474198804997
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,BP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,COMP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,LP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,LP_PGA,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,BP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,COMP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,LP,1,"usada completa",1,1
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,LP_PGA,1,"usada completa",1,1
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,BP,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,COMP,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,LP,1,"usada completa",1,1
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,LP_PGA,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,BP,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,COMP,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,LP,1,"usada completa",1,1
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,LP_PGA,1,"usada parcialmente: 1 submuestra(s), 97.5% del sweep lineal; saturación CH2",1,0.975013579576317
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_ALL0000_F0000,BP,1,"usada completa",1,1
