Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1,3.88,2.04,-1.84,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,2,4.32,2.44,-1.88,2.44,2.3,125,0.0694444444444444,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,3,1.112,0.72,-0.392,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,4,4.84,2.44,-2.4,2.44,2.3,407,0.226111111111111,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1,3.36,1.84,-1.52,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,2,3.64,2.04,-1.6,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,3,1.04,0.632,-0.408,0.632,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,4,4.4,2.44,-1.96,2.44,2.3,155,0.0861111111111111,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,2,3.36,1.92,-1.44,1.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,3,0.872,0.576,-0.296,0.576,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,4,4.16,2.4,-1.76,2.4,2.3,32,0.0177777777777778,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,2,3.32,1.84,-1.48,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,3,0.864,0.576,-0.288,0.576,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,4,4.16,2.4,-1.76,2.4,2.3,23,0.0127777777777778,1,1,automático,|V| >= 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,1,3.24,1.64,-1.6,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,2,3.72,1.92,-1.8,1.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,3,0.344,0.164,-0.18,0.18,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,4,0.752,0.36,-0.392,0.392,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,1,2.96,1.48,-1.48,1.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,2,3.4,1.76,-1.64,1.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,3,0.328,0.16,-0.168,0.168,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,4,0.688,0.344,-0.344,0.344,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,1,3.28,1.64,-1.64,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,2,4.56,2.32,-2.24,2.32,2.3,3,0.00166574125485841,1,1,automático,|V| >= 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,3,0.648,0.32,-0.328,0.328,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,4,0.664,0.32,-0.344,0.344,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,1,3.28,1.64,-1.64,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
